date,ada_close,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2017-10-11,0.02252,0.021531,0.022114,0.018539,0.021489,0.021931,0.020816,0.025932
2017-10-12,0.026252,0.02252,0.021531,0.022114,0.018539,0.021489,0.021931,0.020816
2017-10-13,0.033641,0.026252,0.02252,0.021531,0.022114,0.018539,0.021489,0.021931
2017-10-16,0.028948,0.033641,0.026252,0.02252,0.021531,0.022114,0.018539,0.021489
2017-10-17,0.027217,0.028948,0.033641,0.026252,0.02252,0.021531,0.022114,0.018539
2017-10-18,0.026691,0.027217,0.028948,0.033641,0.026252,0.02252,0.021531,0.022114
2017-10-19,0.027032,0.026691,0.027217,0.028948,0.033641,0.026252,0.02252,0.021531
2017-10-20,0.03063,0.027032,0.026691,0.027217,0.028948,0.033641,0.026252,0.02252
2017-10-23,0.025454,0.03063,0.027032,0.026691,0.027217,0.028948,0.033641,0.026252
2017-10-24,0.027193,0.025454,0.03063,0.027032,0.026691,0.027217,0.028948,0.033641
2017-10-25,0.027527,0.027193,0.025454,0.03063,0.027032,0.026691,0.027217,0.028948
2017-10-26,0.027132,0.027527,0.027193,0.025454,0.03063,0.027032,0.026691,0.027217
2017-10-27,0.026382,0.027132,0.027527,0.027193,0.025454,0.03063,0.027032,0.026691
2017-10-30,0.028583,0.026382,0.027132,0.027527,0.027193,0.025454,0.03063,0.027032
2017-10-31,0.030437,0.028583,0.026382,0.027132,0.027527,0.027193,0.025454,0.03063
2017-11-01,0.022986,0.030437,0.028583,0.026382,0.027132,0.027527,0.027193,0.025454
2017-11-02,0.021306,0.022986,0.030437,0.028583,0.026382,0.027132,0.027527,0.027193
2017-11-03,0.022628,0.021306,0.022986,0.030437,0.028583,0.026382,0.027132,0.027527
2017-11-06,0.021881,0.022628,0.021306,0.022986,0.030437,0.028583,0.026382,0.027132
2017-11-07,0.022195,0.021881,0.022628,0.021306,0.022986,0.030437,0.028583,0.026382
2017-11-08,0.025186,0.022195,0.021881,0.022628,0.021306,0.022986,0.030437,0.028583
2017-11-09,0.032053,0.025186,0.022195,0.021881,0.022628,0.021306,0.022986,0.030437
2017-11-10,0.027119,0.032053,0.025186,0.022195,0.021881,0.022628,0.021306,0.022986
2017-11-13,0.025808,0.027119,0.032053,0.025186,0.022195,0.021881,0.022628,0.021306
2017-11-14,0.02623,0.025808,0.027119,0.032053,0.025186,0.022195,0.021881,0.022628
2017-11-15,0.026445,0.02623,0.025808,0.027119,0.032053,0.025186,0.022195,0.021881
2017-11-16,0.02758,0.026445,0.02623,0.025808,0.027119,0.032053,0.025186,0.022195
2017-11-17,0.025773,0.02758,0.026445,0.02623,0.025808,0.027119,0.032053,0.025186
2017-11-20,0.029581,0.025773,0.02758,0.026445,0.02623,0.025808,0.027119,0.032053
2017-11-21,0.02833,0.029581,0.025773,0.02758,0.026445,0.02623,0.025808,0.027119
2017-11-22,0.028549,0.02833,0.029581,0.025773,0.02758,0.026445,0.02623,0.025808
2017-11-24,0.028382,0.028549,0.02833,0.029581,0.025773,0.02758,0.026445,0.02623
2017-11-27,0.050593,0.028382,0.028549,0.02833,0.029581,0.025773,0.02758,0.026445
2017-11-28,0.119744,0.050593,0.028382,0.028549,0.02833,0.029581,0.025773,0.02758
2017-11-29,0.089718,0.119744,0.050593,0.028382,0.028549,0.02833,0.029581,0.025773
2017-11-30,0.119883,0.089718,0.119744,0.050593,0.028382,0.028549,0.02833,0.029581
2017-12-01,0.131352,0.119883,0.089718,0.119744,0.050593,0.028382,0.028549,0.02833
2017-12-04,0.13587,0.131352,0.119883,0.089718,0.119744,0.050593,0.028382,0.028549
2017-12-05,0.127488,0.13587,0.131352,0.119883,0.089718,0.119744,0.050593,0.028382
2017-12-06,0.117839,0.127488,0.13587,0.131352,0.119883,0.089718,0.119744,0.050593
2017-12-07,0.105501,0.117839,0.127488,0.13587,0.131352,0.119883,0.089718,0.119744
2017-12-08,0.115465,0.105501,0.117839,0.127488,0.13587,0.131352,0.119883,0.089718
2017-12-11,0.121383,0.115465,0.105501,0.117839,0.127488,0.13587,0.131352,0.119883
2017-12-12,0.133891,0.121383,0.115465,0.105501,0.117839,0.127488,0.13587,0.131352
2017-12-13,0.134281,0.133891,0.121383,0.115465,0.105501,0.117839,0.127488,0.13587
2017-12-14,0.240753,0.134281,0.133891,0.121383,0.115465,0.105501,0.117839,0.127488
2017-12-15,0.213467,0.240753,0.134281,0.133891,0.121383,0.115465,0.105501,0.117839
2017-12-18,0.518198,0.213467,0.240753,0.134281,0.133891,0.121383,0.115465,0.105501
2017-12-19,0.531273,0.518198,0.213467,0.240753,0.134281,0.133891,0.121383,0.115465
2017-12-20,0.486151,0.531273,0.518198,0.213467,0.240753,0.134281,0.133891,0.121383
2017-12-21,0.477851,0.486151,0.531273,0.518198,0.213467,0.240753,0.134281,0.133891
2017-12-22,0.40715,0.477851,0.486151,0.531273,0.518198,0.213467,0.240753,0.134281
2017-12-26,0.428465,0.40715,0.477851,0.486151,0.531273,0.518198,0.213467,0.240753
2017-12-27,0.414176,0.428465,0.40715,0.477851,0.486151,0.531273,0.518198,0.213467
2017-12-28,0.407701,0.414176,0.428465,0.40715,0.477851,0.486151,0.531273,0.518198
2017-12-29,0.529299,0.407701,0.414176,0.428465,0.40715,0.477851,0.486151,0.531273
2018-01-02,0.782587,0.529299,0.407701,0.414176,0.428465,0.40715,0.477851,0.486151
2018-01-03,1.07966,0.782587,0.529299,0.407701,0.414176,0.428465,0.40715,0.477851
2018-01-04,1.11412,1.07966,0.782587,0.529299,0.407701,0.414176,0.428465,0.40715
2018-01-05,0.999559,1.11412,1.07966,0.782587,0.529299,0.407701,0.414176,0.428465
2018-01-08,0.899002,0.999559,1.11412,1.07966,0.782587,0.529299,0.407701,0.414176
2018-01-09,0.814743,0.899002,0.999559,1.11412,1.07966,0.782587,0.529299,0.407701
2018-01-10,0.793121,0.814743,0.899002,0.999559,1.11412,1.07966,0.782587,0.529299
2018-01-11,0.688412,0.793121,0.814743,0.899002,0.999559,1.11412,1.07966,0.782587
2018-01-12,0.897508,0.688412,0.793121,0.814743,0.899002,0.999559,1.11412,1.07966
2018-01-16,0.626493,0.897508,0.688412,0.793121,0.814743,0.899002,0.999559,1.11412
2018-01-17,0.629102,0.626493,0.897508,0.688412,0.793121,0.814743,0.899002,0.999559
2018-01-18,0.659843,0.629102,0.626493,0.897508,0.688412,0.793121,0.814743,0.899002
2018-01-19,0.650498,0.659843,0.629102,0.626493,0.897508,0.688412,0.793121,0.814743
2018-01-22,0.570458,0.650498,0.659843,0.629102,0.626493,0.897508,0.688412,0.793121
2018-01-23,0.56307,0.570458,0.650498,0.659843,0.629102,0.626493,0.897508,0.688412
2018-01-24,0.622208,0.56307,0.570458,0.650498,0.659843,0.629102,0.626493,0.897508
2018-01-25,0.637495,0.622208,0.56307,0.570458,0.650498,0.659843,0.629102,0.626493
2018-01-26,0.623382,0.637495,0.622208,0.56307,0.570458,0.650498,0.659843,0.629102
2018-01-29,0.623204,0.623382,0.637495,0.622208,0.56307,0.570458,0.650498,0.659843
2018-01-30,0.531913,0.623204,0.623382,0.637495,0.622208,0.56307,0.570458,0.650498
2018-01-31,0.519315,0.531913,0.623204,0.623382,0.637495,0.622208,0.56307,0.570458
2018-02-01,0.421672,0.519315,0.531913,0.623204,0.623382,0.637495,0.622208,0.56307
2018-02-02,0.390534,0.421672,0.519315,0.531913,0.623204,0.623382,0.637495,0.622208
2018-02-05,0.327371,0.390534,0.421672,0.519315,0.531913,0.623204,0.623382,0.637495
