date,bit_close,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2017-10-11,4858.60499,4741.70875,4789.30125,4370.16875,4325.23625,4186.78374,4307.555,4424.4725
2017-10-12,5728.5475,4858.60499,4741.70875,4789.30125,4370.16875,4325.23625,4186.78374,4307.555
2017-10-13,5666.97875,5728.5475,4858.60499,4741.70875,4789.30125,4370.16875,4325.23625,4186.78374
2017-10-16,5643.55375,5666.97875,5728.5475,4858.60499,4741.70875,4789.30125,4370.16875,4325.23625
2017-10-17,5495.03875,5643.55375,5666.97875,5728.5475,4858.60499,4741.70875,4789.30125,4370.16875
2017-10-18,5627.08625,5495.03875,5643.55375,5666.97875,5728.5475,4858.60499,4741.70875,4789.30125
2017-10-19,5686.52625,5627.08625,5495.03875,5643.55375,5666.97875,5728.5475,4858.60499,4741.70875
2017-10-20,6098.115,5686.52625,5627.08625,5495.03875,5643.55375,5666.97875,5728.5475,4858.60499
2017-10-23,5649.005,6098.115,5686.52625,5627.08625,5495.03875,5643.55375,5666.97875,5728.5475
2017-10-24,5550.85875,5649.005,6098.115,5686.52625,5627.08625,5495.03875,5643.55375,5666.97875
2017-10-25,5776.87875,5550.85875,5649.005,6098.115,5686.52625,5627.08625,5495.03875,5643.55375
2017-10-26,5923.70625,5776.87875,5550.85875,5649.005,6098.115,5686.52625,5627.08625,5495.03875
2017-10-27,5737.1025,5923.70625,5776.87875,5550.85875,5649.005,6098.115,5686.52625,5627.08625
2017-10-30,6130.56375,5737.1025,5923.70625,5776.87875,5550.85875,5649.005,6098.115,5686.52625
2017-10-31,6424.515,6130.56375,5737.1025,5923.70625,5776.87875,5550.85875,5649.005,6098.115
2017-11-01,6879.365,6424.515,6130.56375,5737.1025,5923.70625,5776.87875,5550.85875,5649.005
2017-11-02,7199.2375,6879.365,6424.515,6130.56375,5737.1025,5923.70625,5776.87875,5550.85875
2017-11-03,7210.46875,7199.2375,6879.365,6424.515,6130.56375,5737.1025,5923.70625,5776.87875
2017-11-06,7123.89375,7210.46875,7199.2375,6879.365,6424.515,6130.56375,5737.1025,5923.70625
2017-11-07,7356.50625,7123.89375,7210.46875,7199.2375,6879.365,6424.515,6130.56375,5737.1025
2017-11-08,7342.82375,7356.50625,7123.89375,7210.46875,7199.2375,6879.365,6424.515,6130.56375
2017-11-09,7250.77,7342.82375,7356.50625,7123.89375,7210.46875,7199.2375,6879.365,6424.515
2017-11-10,6773.695,7250.77,7342.82375,7356.50625,7123.89375,7210.46875,7199.2375,6879.365
2017-11-13,6666.27125,6773.695,7250.77,7342.82375,7356.50625,7123.89375,7210.46875,7199.2375
2017-11-14,6867.42625,6666.27125,6773.695,7250.77,7342.82375,7356.50625,7123.89375,7210.46875
2017-11-15,7259.3,6867.42625,6666.27125,6773.695,7250.77,7342.82375,7356.50625,7123.89375
2017-11-16,7924.1825,7259.3,6867.42625,6666.27125,6773.695,7250.77,7342.82375,7356.50625
2017-11-17,7598.2775,7924.1825,7259.3,6867.42625,6666.27125,6773.695,7250.77,7342.82375
2017-11-20,7879.06,7598.2775,7924.1825,7259.3,6867.42625,6666.27125,6773.695,7250.77
