date,bnb_close,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2017-10-11,1.43373,1.39336,1.40378,1.57991,1.67849,1.60148,1.8207,1.96467
2017-10-12,1.34376,1.43373,1.39336,1.40378,1.57991,1.67849,1.60148,1.8207
2017-10-13,1.43548,1.34376,1.43373,1.39336,1.40378,1.57991,1.67849,1.60148
2017-10-16,1.4407,1.43548,1.34376,1.43373,1.39336,1.40378,1.57991,1.67849
2017-10-17,1.38995,1.4407,1.43548,1.34376,1.43373,1.39336,1.40378,1.57991
2017-10-18,1.32756,1.38995,1.4407,1.43548,1.34376,1.43373,1.39336,1.40378
2017-10-19,1.28461,1.32756,1.38995,1.4407,1.43548,1.34376,1.43373,1.39336
2017-10-20,1.24192,1.28461,1.32756,1.38995,1.4407,1.43548,1.34376,1.43373
2017-10-23,1.18373,1.24192,1.28461,1.32756,1.38995,1.4407,1.43548,1.34376
2017-10-24,1.24843,1.18373,1.24192,1.28461,1.32756,1.38995,1.4407,1.43548
2017-10-25,1.25278,1.24843,1.18373,1.24192,1.28461,1.32756,1.38995,1.4407
2017-10-26,1.2086,1.25278,1.24843,1.18373,1.24192,1.28461,1.32756,1.38995
2017-10-27,1.17418,1.2086,1.25278,1.24843,1.18373,1.24192,1.28461,1.32756
2017-10-30,1.31227,1.17418,1.2086,1.25278,1.24843,1.18373,1.24192,1.28461
2017-10-31,1.31289,1.31227,1.17418,1.2086,1.25278,1.24843,1.18373,1.24192
2017-11-01,1.26154,1.31289,1.31227,1.17418,1.2086,1.25278,1.24843,1.18373
2017-11-02,1.29963,1.26154,1.31289,1.31227,1.17418,1.2086,1.25278,1.24843
2017-11-03,1.45922,1.29963,1.26154,1.31289,1.31227,1.17418,1.2086,1.25278
2017-11-06,1.56979,1.45922,1.29963,1.26154,1.31289,1.31227,1.17418,1.2086
2017-11-07,1.80644,1.56979,1.45922,1.29963,1.26154,1.31289,1.31227,1.17418
2017-11-08,2.03102,1.80644,1.56979,1.45922,1.29963,1.26154,1.31289,1.31227
2017-11-09,1.99077,2.03102,1.80644,1.56979,1.45922,1.29963,1.26154,1.31289
2017-11-10,1.79684,1.99077,2.03102,1.80644,1.56979,1.45922,1.29963,1.26154
2017-11-13,1.68662,1.79684,1.99077,2.03102,1.80644,1.56979,1.45922,1.29963
2017-11-14,1.59258,1.68662,1.79684,1.99077,2.03102,1.80644,1.56979,1.45922
2017-11-15,1.53045,1.59258,1.68662,1.79684,1.99077,2.03102,1.80644,1.56979
