date,eth_close,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2017-10-11,307.345873,301.203155,297.253365,309.599509,295.510772,289.300806,292.847181,300.062
2017-10-12,301.993368,307.345873,301.203155,297.253365,309.599509,295.510772,289.300806,292.847181
2017-10-13,340.097,301.993368,307.345873,301.203155,297.253365,309.599509,295.510772,289.300806
2017-10-16,328.230574,340.097,301.993368,307.345873,301.203155,297.253365,309.599509,295.510772
2017-10-17,307.068,328.230574,340.097,301.993368,307.345873,301.203155,297.253365,309.599509
2017-10-18,312.490756,307.068,328.230574,340.097,301.993368,307.345873,301.203155,297.253365
2017-10-19,307.136835,312.490756,307.068,328.230574,340.097,301.993368,307.345873,301.203155
2017-10-20,301.047,307.136835,312.490756,307.068,328.230574,340.097,301.993368,307.345873
2017-10-23,301.668,301.047,307.136835,312.490756,307.068,328.230574,340.097,301.993368
2017-10-24,293.334,301.668,301.047,307.136835,312.490756,307.068,328.230574,340.097
2017-10-25,298.362,293.334,301.668,301.047,307.136835,312.490756,307.068,328.230574
2017-10-26,297.538,298.362,293.334,301.668,301.047,307.136835,312.490756,307.068
2017-10-27,295.573,297.538,298.362,293.334,301.668,301.047,307.136835,312.490756
2017-10-30,308.991,295.573,297.538,298.362,293.334,301.668,301.047,307.136835
2017-10-31,304.109,308.991,295.573,297.538,298.362,293.334,301.668,301.047
2017-11-01,288.606,304.109,308.991,295.573,297.538,298.362,293.334,301.668
2017-11-02,288.383,288.606,304.109,308.991,295.573,297.538,298.362,293.334
2017-11-03,297.047,288.383,288.606,304.109,308.991,295.573,297.538,298.362
2017-11-06,300.794,297.047,288.383,288.606,304.109,308.991,295.573,297.538
2017-11-07,297.076,300.794,297.047,288.383,288.606,304.109,308.991,295.573
2017-11-08,311.094,297.076,300.794,297.047,288.383,288.606,304.109,308.991
2017-11-09,320.091,311.094,297.076,300.794,297.047,288.383,288.606,304.109
2017-11-10,303.473,320.091,311.094,297.076,300.794,297.047,288.383,288.606
2017-11-13,320.717,303.473,320.091,311.094,297.076,300.794,297.047,288.383
